StartTime,Status,Distance
15:00,ABS,5
13:00,P,5
10:00,ABS,5
15:00,P,5
10:00,ABS,5
13:00,P,5
13:00,P,5
14:00,P,5
09:00,P,5
11:00,P,5
13:00,P,5
14:00,P,5
09:00,P,5
11:00,P,5
11:00,P,5
11:00,P,5
14:00,PROJ,5
15:00,PROJ,5
09:00,P,5
10:00,P,5
11:00,P,5
13:00,P,5
15:00,P,5
10:00,P,5
13:00,ABS,5
15:00,P,5
10:00,P,5
15:00,ABS,5
13:00,P,5
10:00,P,5
11:00,PRM,5
09:00,P,5
11:00,P,5
13:00,P,5
09:00,ABS,5
13:00,P,5
14:00,P,5
09:00,ABS,5
11:00,P,5
15:00,ABS,2
15:00,ABS,2
11:00,ABS,2
09:00,ABS,2
11:00,ABS,2
09:00,ABS,2
16:00,P,2
09:00,ABS,2
09:00,ABS,2
13:00,ABS,2
09:00,ABS,2
09:00,P,2
11:00,ABS,2
15:00,P,2
11:00,ABS,2
11:00,ABS,2
09:00,ABS,2
11:00,ABS,2
15:00,P,2
16:00,ABS,2
11:00,P,2
09:00,ABS,2
11:00,ABS,2
16:00,ABS,2
09:00,P,2
11:00,ABS,7
16:00,P,7
11:00,ABS,7
09:00,P,7
16:00,ABS,7
09:00,P,7
11:00,P,7
11:00,ABS,7
11:00,ABS,7
09:00,ABS,7
11:00,P,7
09:00,ABS,7
09:00,ABS,7
16:00,ABS,7
15:00,P,7
16:00,P,7
11:00,P,7
09:00,ABS,7
09:00,P,7
11:00,P,7
15:00,ABS,7
09:00,PWR,7
11:00,P,7
09:00,P,7
16:00,P,7
11:00,ABS,7
11:00,PWR,7
09:00,ABS,7
15:00,ABS,7
09:00,PWR,7
16:00,P,7
15:00,P,7
09:00,P,7
11:00,P,7
16:00,P,7
09:00,PWR,7
11:00,P,7
16:00,PWR,7
13:00,P,7
11:00,P,7
15:00,P,7
09:00,P,7
11:00,AA,7
11:00,ABS,7
11:00,ABS,7
15:00,ABS,7
16:00,ABS,7
09:00,ABS,7
11:00,ABS,7
11:00,ABS,7
12:00,ABS,7
15:00,ABS,7
09:00,P,7
09:00,ABS,7
15:00,ABS,7
13:00,ABS,7
12:00,ABS,7
09:00,P,7
10:00,ABS,7
09:00,P,7
10:00,ABS,7
12:00,ABS,7
15:00,ABS,7
10:00,ABS,7
09:00,ABS,7
12:00,ABS,7
12:00,ABS,7
12:00,ABS,7
15:00,ABS,7
09:00,P,7
09:00,ABS,7
10:00,ABS,7
12:00,ABS,7
15:00,P,7
09:00,ABS,7
12:00,ABS,7
09:00,ABS,7
15:00,ABS,7
09:00,ABS,7
10:00,ABS,7
12:00,ABS,7
12:00,ABS,7
09:00,ABS,7
10:00,ABS,7
09:00,ABS,7
12:00,ABS,7
12:00,ABS,7
11:00,ABS,7
11:00,P,7
12:00,P,7
12:00,ABS,7
10:00,P,7
09:00,P,7
15:00,P,7
09:00,ABS,7
09:00,ABS,5
10:00,ABS,5
15:00,ABS,5
12:00,ABS,5
12:00,ABS,5
09:00,ABS,5
15:00,ABS,5
09:00,ABS,5
12:00,ABS,5
12:00,ABS,5
12:00,ABS,5
12:00,ABS,5
09:00,ABS,5
10:00,P,5
15:00,P,5
09:00,P,5
10:00,P,5
12:00,P,5
12:00,ABS,5
15:00,ABS,5
09:00,ABS,5
10:00,P,5
09:00,ABS,5
12:00,P,5
12:00,P,5
10:00,P,5
09:00,P,5
15:00,ABS,5
09:00,ABS,5
15:00,ABS,5
12:00,ABS,5
15:00,P,5
12:00,ABS,5
15:00,ABS,5
12:00,ABS,5
15:00,P,5
12:00,P,5
15:00,P,5
12:00,P,5
12:00,ABS,5
15:00,ABS,5
15:00,ABS,5
12:00,ABS,5
12:00,ABS,5
15:00,ABS,5
15:00,ABS,5
12:00,ABS,5
15:00,ABS,5
12:00,ABS,5
15:00,ABS,5
12:00,ABS,5
12:00,ABS,5
15:00,ABS,5
15:00,ABS,5
11:00,ABS,5
13:00,ABS,5
11:00,ABS,5
11:00,ABS,5
09:00,ABS,5
14:00,ABS,5
14:00,ABS,5
09:00,ABS,5
13:00,ABS,5
11:00,ABS,5
11:00,ABS,5
09:00,ABS,5
09:00,ABS,5
11:00,ABS,2
11:00,ABS,2
11:00,AA,9
11:00,AA,9
13:00,AA,9
11:00,AA,9
13:00,AA,9
11:00,AA,9
13:00,AA,9
09:00,AA,9
11:00,AA,9
09:00,AA,9
14:00,AA,9
13:00,AA,9
11:00,AA,9
09:00,ABS,9
11:00,AA,9
13:00,P,9
09:00,P,9
14:00,P,9
13:00,P,9
14:00,P,9
11:00,P,9
11:00,P,9
09:00,P,9
09:00,P,9
11:00,AA,9
14:00,P,9
09:00,AA,9
13:00,AA,9
11:00,AA,9
14:00,AA,9
10:00,AA,9
09:00,AA,9
11:00,ABS,9
13:00,P,9
09:00,P,9
13:00,P,9
09:00,P,9
14:00,P,9
13:00,P,9
14:00,P,9
09:00,P,9
09:00,PRM,9
14:00,PRM,9
13:00,PROJ,9
09:00,PRM,9
11:00,PRM,9
13:00,PRM,9
11:00,ABS,9
11:00,P,9
13:00,PROJ,9
11:00,PROJ,9
13:00,PRM,9
11:00,PRM,9
13:00,PRM,9
11:00,PRM,9
09:00,PRM,9
11:00,PROJ,9
11:00,P,3
11:00,P,3
09:00,P,3
13:00,P,3
11:00,P,3
09:00,P,3
14:00,P,3
11:00,ABS,3
11:00,ABS,3
11:00,P,3
09:00,P,3
13:00,ABS,3
09:00,P,3
14:00,P,3
13:00,P,3
09:00,P,3
13:00,P,3
09:00,P,3
11:00,P,3
11:00,P,3
13:00,ABS,3
11:00,PWR,3
13:00,P,3
09:00,P,3
11:00,P,3
11:00,P,3
11:00,P,3
14:00,P,3
09:00,P,3
14:00,P,3
11:00,ABS,3
09:00,ABS,3
11:00,ABS,3
14:00,ABS,3
14:00,ABS,3
11:00,ABS,3
11:00,ABS,3
11:00,ABS,3
09:00,ABS,3
14:00,P,3
11:00,ABS,3
09:00,ABS,3
11:00,ABS,3
11:00,ABS,3
11:00,ABS,3
11:00,ABS,3
14:00,ABS,3
11:00,P,3
11:00,ABS,3
09:00,P,3
09:00,ABS,3
11:00,ABS,3
09:00,P,3
09:00,P,3
09:00,P,3
09:00,ABS,3
11:00,ABS,3
11:00,ABS,3
09:00,ABS,3
11:00,ABS,3
14:00,ABS,3
11:00,ABS,3
09:00,P,3
09:00,ABS,3
11:00,ABS,3
09:00,ABS,3
11:00,ABS,3
15:00,ABS,3
09:00,ABS,3
11:00,ABS,3
15:00,P,3
09:00,ABS,26
11:00,ABS,26
14:00,ABS,26
15:00,ABS,26
14:00,ABS,26
09:00,ABS,26
11:00,ABS,26
15:00,ABS,26
14:00,ABS,26
09:00,ABS,26
14:00,ABS,26
11:00,ABS,26
09:00,ABS,26
15:00,ABS,26
11:00,ABS,26
11:00,ABS,26
09:00,ABS,26
09:00,ABS,26
11:00,ABS,26
12:00,ABS,26
14:00,P,2
10:00,P,2
11:00,P,2
14:00,P,2
13:00,P,26
14:00,P,26
10:00,ABS,26
14:00,P,26
10:00,P,26
13:00,P,26
14:00,P,26
14:00,P,26
11:00,P,26
09:00,P,26
11:00,ABS,26
09:00,P,26
14:00,P,26
10:00,P,26
13:00,ABS,26
09:00,P,26
11:00,P,26
09:00,P,26
10:00,ABS,26
13:00,P,26
14:00,P,26
09:00,AA,26
14:00,P,26
10:00,P,26
13:00,P,26
14:00,P,26
14:00,P,26
09:00,P,26
13:00,ABS,26
11:00,P,26
13:00,P,26
09:00,P,26
10:00,P,26
09:00,P,26
13:00,P,26
14:00,P,26
11:00,P,26
14:00,PDG,26
10:00,ABS,26
14:00,ABS,26
10:00,ABS,26
14:00,ABS,26
10:00,P,26
14:00,P,26
14:00,P,26
11:00,ABS,26
13:00,ABS,26
09:00,ABS,26
09:00,ABS,26
13:00,ABS,26
14:00,P,26
14:00,P,26
10:00,P,26
10:00,ABS,26
15:00,ABS,26
11:00,P,26
15:00,P,26
16:00,P,26
11:00,ABS,26
15:00,ABS,26
11:00,ABS,26
16:00,P,26
09:00,ABS,26
11:00,ABS,26
16:00,ABS,26
11:00,ABS,26
11:00,P,9
15:00,P,9
16:00,P,9
11:00,P,9
09:00,P,9
16:00,P,9
15:00,P,9
09:00,P,9
16:00,P,9
16:00,P,9
11:00,P,9
09:00,PWR,9
16:00,PWR,9
16:00,P,9
11:00,P,9
11:00,P,9
09:00,P,9
16:00,P,9
09:00,P,9
11:00,ABS,9
09:00,ABS,9
11:00,P,9
15:00,P,9
16:00,P,9
15:00,ABS,9
16:00,P,9
16:00,P,9
11:00,P,9
11:00,P,9
11:00,P,9
09:00,ABS,9
11:00,P,9
09:00,P,9
11:00,ABS,9
16:00,ABS,9
11:00,ABS,9
16:00,ABS,9
11:00,ABS,9
09:00,ABS,9
16:00,ABS,9
09:00,ABS,9
16:00,ABS,9
15:00,ABS,9
16:00,ABS,9
15:00,ABS,9
16:00,ABS,9
15:00,P,9
09:00,ABS,9
11:00,ABS,9
16:00,ABS,9
11:00,ABS,9
11:00,ABS,9
16:00,ABS,9
16:00,ABS,9
16:00,ABS,9
15:00,ABS,9
11:00,U,9
15:00,ABS,9
11:00,P,9
19:00,ABS,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
18:00,P,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
19:00,P,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
19:00,ABS,9
18:00,ABS,9
19:00,ABS,9
18:00,P,9
14:00,ABS,9
16:00,P,9
16:00,ABS,9
14:00,ABS,9
11:00,ABS,9
11:00,P,9
13:00,P,9
15:00,P,9
11:00,P,9
13:00,P,9
15:00,ABS,9
13:00,ABS,9
13:00,ABS,9
15:00,ABS,9
11:00,ABS,9
11:00,ABS,9
13:00,ABS,9
11:00,ABS,9
13:00,ABS,9
15:00,ABS,9
11:00,CC,9
11:00,P,20
11:00,P,20
15:00,P,20
15:00,ABS,20
11:00,P,20
13:00,ABS,20
13:00,ABS,20
11:00,ABS,20
15:00,ABS,20
11:00,P,20
15:00,ABS,20
11:00,ABS,20
15:00,P,20
13:00,P,20
13:00,ABS,20
13:00,P,20
11:00,ABS,20
13:00,ABS,20
15:00,ABS,20
11:00,P,20
11:00,P,20
13:00,PWR,20
13:00,ABS,20
13:00,P,20
13:00,P,20
11:00,P,20
11:00,ABS,20
15:00,P,20
13:00,ABS,20
13:00,ABS,20
13:00,P,20
15:00,P,20
11:00,ABS,20
15:00,ABS,20
11:00,ABS,20
15:00,ABS,20
13:00,ABS,20
11:00,ABS,20
15:00,ABS,20
11:00,ABS,20
11:00,P,20
13:00,ABS,20
13:00,ABS,20
13:00,P,20
15:00,ABS,20
11:00,ABS,20
13:00,ABS,20
11:00,ABS,20
15:00,ABS,20
18:00,P,20
19:00,ABS,20
09:00,P,20
18:00,P,20
19:00,P,20
09:00,ABS,20
18:00,ABS,20
19:00,P,20
09:00,ABS,20
19:00,ABS,20
18:00,ABS,20
19:00,P,20
18:00,ABS,20
09:00,ABS,20
09:00,CC,20
09:00,ABS,20
18:00,P,13
19:00,AA,13
09:00,AA,13
18:00,AA,13
19:00,AA,13
18:00,AA,13
19:00,AA,13
18:00,AA,13
19:00,AA,13
18:00,AA,13
19:00,AA,13
09:00,AA,13
09:00,P,13
09:00,P,13
09:00,ABS,13
09:00,AA,13
18:00,AA,13
19:00,P,13
11:00,PDG,13
15:00,P,13
13:00,P,13
13:00,AA,13
15:00,ABS,13
10:00,CC,13
11:00,PDG,13
11:00,AA,13
11:00,PDG,13
09:00,AA,13
13:00,P,13
